actor_id,actor_name,degree_centrality,degree
nm0000139,Cameron Diaz,0.0018447988574149012,62
nm0001475,John Lithgow,0.0009819090692692216,33
nm0001082,Billy Crudup,0.0017555343965722447,59
nm1123814,Bill Haugland,8.926446084265651e-05,3
nm0485011,Nelson Landrieu,8.926446084265651e-05,3
nm0171583,Ivonne Coll,0.00017852892168531301,6
nm0435218,Terry Kiser,0.00038681266365151156,13
nm0596959,Richard Moll,0.0009819090692692216,33
nm0908914,Dee Wallace,0.003064746488931207,103
nm0931080,Kevin Dean Williams,8.926446084265651e-05,3
nm0000665,D.B. Sweeney,0.0009819090692692216,33
nm0000523,Julianna Margulies,0.0008331349678647941,28
nm0942787,Samuel E. Wright,8.926446084265651e-05,3
nm0005569,Alfre Woodard,0.0012794572720780766,43
nm1317822,Sean Miller,8.926446084265651e-05,3
nm0816839,Jonny Spanish,8.926446084265651e-05,3
nm0453548,Julienne Hanzelka Kim,8.926446084265651e-05,3
nm0004193,Debbie Rochon,0.00502856462746965,169
nm0000134,Robert De Niro,0.003540823613425375,119
nm0000623,Rene Russo,0.0008033801475839086,27
nm0005305,Piper Perabo,0.0016662699357295882,56
nm0004517,Jason Alexander,0.00035705784337062603,12
nm0000230,Sylvester Stallone,0.0015770054748869317,53
nm0661164,Kip Pardue,0.0015770054748869317,53
nm0001709,Til Schweiger,0.0011306831706736492,38
nm0000608,Burt Reynolds,0.0018447988574149012,62
nm0940158,Bokeem Woodbine,0.0013984765532016187,47
nm0715953,Roger Rees,0.00017852892168531301,6
nm0682399,Justin Pierce,0.00017852892168531301,6
nm0461355,Sascha Knopf,0.00035705784337062603,12
nm0000379,Kirsten Dunst,0.0020530825993811,69
nm0040472,William Atherton,0.0006248512258985956,21
nm0266631,Debbie Fan,0.00017852892168531301,6
nm0531095,Eric Mabius,0.0005355867650559391,18
nm0000242,Mark Wahlberg,0.003392049512020947,114
nm0000619,Tim Roth,0.0026184241847179244,88
nm0003817,Michael Clarke Duncan,0.0013687217329207333,46
nm0330687,Joseph Gordon-Levitt,0.0019340633182575576,65
nm0000668,Emma Thompson,0.0017257795762913592,58
nm0001737,Martin Short,0.0004463223042132826,15
nm0001975,Roscoe Lee Browne,0.00017852892168531301,6
nm0320547,Carmine Giovinazzo,8.926446084265651e-05,3
nm0274371,Louis Ferreira,0.00026779338252796953,9
nm0000947,Karen Black,0.0024994049035943823,84
nm0648846,Peter Onorati,8.926446084265651e-05,3
nm0000274,David Arquette,0.0026779338252796952,90
nm0000117,Neve Campbell,0.0015174958343251606,51
nm0001073,Courteney Cox,0.0007438705070221376,25
nm0507271,Huey Lewis,8.926446084265651e-05,3
nm0000569,Gwyneth Paltrow,0.0014877410140442752,50
nm0316079,Paul Giamatti,0.002707688645560581,91
nm0105672,Andre Braugher,0.00035705784337062603,12
nm0593664,Radha Mitchell,0.0031242561294929777,105
nm0369513,Cole Hauser,0.0013984765532016187,47
nm0004874,Vin Diesel,0.0014579861937633898,49
nm0202966,Keith David,0.004225184479885741,142
nm0000652,James Spader,0.0005355867650559391,18
nm0004906,Peter Facinelli,0.0010414187098309927,35
nm0000677,Robin Tunney,0.0011306831706736492,38
nm0000291,Angela Bassett,0.0019043084979766722,64
nm0380231,Blake Heron,8.926446084265651e-05,3
nm0553436,A Martinez,0.0004463223042132826,15
nm0575184,Russell Means,0.00026779338252796953,9
nm0836071,Wes Studi,0.0010711735301118781,36
nm0001606,Chris Penn,0.00026779338252796953,9
nm0942482,Jeffrey Wright,0.0015174958343251606,51
nm0220867,Anthony DeSando,0.00017852892168531301,6
nm0000145,Sherilyn Fenn,0.0007141156867412521,24
nm0000123,George Clooney,0.0020828374196619854,70
nm0001876,Catherine Zeta-Jones,0.0011604379909545346,39
nm0000671,Billy Bob Thornton,0.0025886693644370387,87
nm0000177,Kevin Kline,0.0014877410140442752,50
nm0000110,Kenneth Branagh,0.00119019281123542,40
nm0001609,Rosie Perez,0.0007438705070221376,25
nm0000800,Armand Assante,0.003778862175672459,127
nm0562924,Whitman Mayo,8.926446084265651e-05,3
nm0333318,April Grace,8.926446084265651e-05,3
nm0245652,Cordereau Dye,8.926446084265651e-05,3
nm0001618,Joaquin Phoenix,0.002172101880504642,73
nm0000234,Charlize Theron,0.0029159723875267795,98
nm0001001,James Caan,0.0018745536776957868,63
nm0000449,Natasha Henstridge,0.0015174958343251606,51
nm0890232,Michael Vartan,0.0006248512258985956,21
nm0728346,Michael Rispoli,0.0011306831706736492,38
nm0001882,Olivia d'Abo,0.0010711735301118781,36
nm0000243,Denzel Washington,0.002023327779100214,68
nm0000160,Ethan Hawke,0.003392049512020947,114
nm0001277,Scott Glenn,0.0010711735301118781,36
nm0000297,Tom Berenger,0.0016662699357295882,56
nm0001016,David Carradine,0.0018447988574149012,62
nm0540585,Michael Maloney,0.00017852892168531301,6
nm0000446,Mariel Hemingway,0.00038681266365151156,13
nm0195672,Marina Anderson,0.00020828374196619852,7
nm0497621,Julie Lee,8.926446084265651e-05,3
nm0000514,Michael Madsen,0.007974291835277316,268
nm0846480,Cary-Hiroyuki Tagawa,0.0004463223042132826,15
nm0368745,Richard Hatch,0.00026779338252796953,9
nm0000886,Warren Beatty,8.926446084265651e-05,3
nm0000473,Diane Keaton,0.0019638181385384433,66
nm0000176,Nastassja Kinski,0.0005355867650559391,18
nm0000443,Goldie Hawn,0.00026779338252796953,9
nm0000190,Matthew McConaughey,0.002886217567245894,97
nm0000200,Bill Paxton,0.0014282313734825041,48
nm0000172,Harvey Keitel,0.0022316115210664128,75
nm0000954,Jon Bon Jovi,0.00017852892168531301,6
nm0000978,Lloyd Bridges,8.926446084265651e-05,3
nm0001038,Josh Charles,0.0006248512258985956,21
nm0005547,Alexandra Wentworth,8.926446084265651e-05,3
nm0000977,Beau Bridges,0.0010414187098309927,35
nm0000288,Christian Bale,0.0024101404427517258,81
nm0857620,Justin Theroux,0.0007736253273030231,26
nm0524197,Josh Lucas,0.002172101880504642,73
nm0756083,Bill Sage,0.0023208759819090693,78
nm0000729,Casey Affleck,0.0017555343965722447,59
nm0005561,Luke Wilson,0.0027969531064032374,94
nm0899681,Goran Visnjic,0.0008033801475839086,27
nm0001390,Janet Jackson,0.000297548202808855,10
nm0588777,Larry Miller,0.00026779338252796953,9
nm0018099,John Ales,0.00035705784337062603,12
nm0025364,Alice Amter,0.00017852892168531301,6
nm0138421,Clint Carmichael,0.00017852892168531301,6
nm0000409,Brendan Fraser,0.0019638181385384433,66
nm0354937,Jennifer Hale,0.000297548202808855,10
nm0000483,Christopher Lambert,0.0004463223042132826,15
nm0001600,Adrian Paul,0.0013092120923589622,44
nm0668271,Bruce Payne,0.0005355867650559391,18
nm0053887,Lisa Barbuscia,8.926446084265651e-05,3
nm0000353,Willem Dafoe,0.004403713401571054,148
nm0290556,James Franco,0.0049095453463461084,165
nm0000126,Kevin Costner,0.0018745536776957868,63
nm0339304,Bruce Greenwood,0.0019638181385384433,66
nm0238057,Shawn Driscoll,8.926446084265651e-05,3
nm0177020,Drake Cook,8.926446084265651e-05,3
nm0001401,Angelina Jolie,0.0021125922399428706,71
nm0000685,Jon Voight,0.0014282313734825041,48
nm0322513,Iain Glen,0.0011604379909545346,39
nm0852965,Noah Taylor,0.0004463223042132826,15
nm0000649,Paul Sorvino,0.0023208759819090693,78
nm0878911,Steven Tyler,8.926446084265651e-05,3
nm0157915,Nick Chinlund,0.0009223994287074506,31
nm0000529,Debi Mazar,0.0005355867650559391,18
nm0000131,John Cusack,0.003362294691740062,113
nm0005013,Iben Hjejle,0.00017852892168531301,6
nm0521974,Todd Louiso,8.926446084265651e-05,3
nm0085312,Jack Black,0.0020530825993811,69
nm0569226,Bruce McGill,0.0008033801475839086,27
nm0893204,Diane Venora,0.0006546060461794811,22
nm0341055,Joe Grifasi,0.00017852892168531301,6
nm0556985,Tom Mason,8.926446084265651e-05,3
nm0000056,Paul Newman,0.00017852892168531301,6
nm0000400,Linda Fiorentino,0.00017852892168531301,6
nm0000551,Dermot Mulroney,0.003064746488931207,103
nm0055794,Susan Barnes,8.926446084265651e-05,3
nm0004851,Penélope Cruz,0.0021125922399428706,71
nm0001794,Henry Thomas,0.0015770054748869317,53
nm0129583,Angelina Torres,8.926446084265651e-05,3
nm0000558,Leslie Nielsen,0.00035705784337062603,12
nm0613147,Lochlyn Munro,0.0029754820280885504,100
nm0029502,Vanessa Angel,0.0005355867650559391,18
nm0001235,William Forsythe,0.0026184241847179244,88
nm0451321,Shah Rukh Khan,0.0011604379909545346,39
nm0706787,Aishwarya Rai Bachchan,0.0012794572720780766,43
nm0802103,Chandrachur Singh,8.926446084265651e-05,3
nm2528716,Sharad S. Kapoor,0.00017852892168531301,6
nm0003784,Joe Grisaffi,0.0014579861937633898,49
nm0702712,Anne Quackenbush,8.926446084265651e-05,3
nm0467632,Therese Kotara,8.926446084265651e-05,3
nm0943961,Garrison Wynn,8.926446084265651e-05,3
nm0112915,L.P. Brown III,0.00017852892168531301,6
nm0621008,Charles Napier,0.00035705784337062603,12
nm0001397,Brion James,0.00017852892168531301,6
nm0000798,Linden Ashby,0.0009819090692692216,33
nm0066664,Leslie Bega,0.00017852892168531301,6
nm0236952,Larry Drake,0.00026779338252796953,9
nm0887708,Melvin Van Peebles,0.00017852892168531301,6
nm0000218,Kristin Scott Thomas,0.0018447988574149012,62
nm0000576,Sean Penn,0.001606760295167817,54
nm0000843,Anne Bancroft,0.00026779338252796953,9
nm0289038,James Fox,0.00035705784337062603,12
nm0440229,Vincent Kartheiser,0.0010414187098309927,35
nm0159668,Chad Christ,8.926446084265651e-05,3
nm0802217,Sabine Singh,8.926446084265651e-05,3
nm0835840,Richard M. Stuart,8.926446084265651e-05,3
nm0005172,Norm MacDonald,0.00041656748393239704,14
nm0152638,Dave Chappelle,8.926446084265651e-05,3
nm0834626,Elaine Stritch,0.00017852892168531301,6
nm0000362,Danny DeVito,0.0017555343965722447,59
nm0002101,Robin Givens,0.0019043084979766722,64
nm0429114,Richard T. Jones,0.0010711735301118781,36
nm0724757,Salli Richardson-Whitfield,0.0005355867650559391,18
nm0313416,Eric George,8.926446084265651e-05,3
nm0000635,Yahoo Serious,8.926446084265651e-05,3
nm0197940,Helen Dallimore,8.926446084265651e-05,3
nm0275913,David Field,0.0010414187098309927,35
nm0685221,Grant Piro,8.926446084265651e-05,3
nm0005260,Frankie Muniz,0.0009819090692692216,33
nm0000102,Kevin Bacon,0.0018447988574149012,62
nm0000178,Diane Lane,0.0015770054748869317,53
nm0000187,Madonna,0.00017852892168531301,6
nm0000391,Rupert Everett,0.0013092120923589622,44
nm0000973,Benjamin Bratt,0.0012497024517971911,42
nm0001152,Illeana Douglas,0.0009819090692692216,33
nm0816669,Douglas Spain,0.00035705784337062603,12
nm0333888,Aimee Graham,0.00017852892168531301,6
nm0005497,Nicholle Tom,0.00026779338252796953,9
nm0002364,Dante Basco,0.0016960247560104736,57
nm0103038,Jesse Bradford,0.0014877410140442752,50
nm0829390,French Stewart,0.0006248512258985956,21
nm0305519,Paula Garcés,0.00026779338252796953,9
nm0000299,Michael Biehn,0.001993572958819329,67
nm0000701,Kate Winslet,0.002350630802189955,79
nm0004787,Saffron Burrows,0.0008628897881456796,29
nm0000562,Jeremy Northam,0.0008926446084265652,30
nm0000532,Malcolm McDowell,0.003540823613425375,119
nm0000650,Talisa Soto,0.00026779338252796953,9
nm0708873,Bruce Ramsay,0.00017852892168531301,6
nm0574308,Kent McQuaid,8.926446084265651e-05,3
nm0528462,Susan Lynch,0.0004463223042132826,15
nm0778831,Andrew Scott,0.00038681266365151156,13
nm0564516,Vinnie McCabe,8.926446084265651e-05,3
nm0004692,Mark Addy,0.000297548202808855,10
nm0000286,Stephen Baldwin,0.0031540109497738633,106
nm0005060,Kristen Johnston,0.000297548202808855,10
nm0005105,Jane Krakowski,0.00026779338252796953,9
nm0005562,Owen Wilson,0.003034991668650321,102
nm0532683,Gabriel Macht,0.0007438705070221376,25
nm0925916,Charles Malik Whitfield,0.00041656748393239704,14
nm0011148,Lillian Adams,0.00017852892168531301,6
nm0120648,Cara Buono,0.0004463223042132826,15
nm0004801,Nestor Carbonell,0.00035705784337062603,12
nm0000179,Jude Law,0.0022613663413472984,76
nm0000173,Nicole Kidman,0.003362294691740062,113
nm0000250,Renée Zellweger,0.0017852892168531303,60
nm0040586,Eileen Atkins,0.00035705784337062603,12
nm1186560,John E. Vitali,8.926446084265651e-05,3
nm0086731,Susan Blake,8.926446084265651e-05,3
nm1249664,Robert Pascucci,8.926446084265651e-05,3
nm0906617,Liam Waite,0.00017852892168531301,6
nm0000792,Tom Arnold,0.0029754820280885504,100
nm0911933,Zack Ward,0.001606760295167817,54
nm0000240,Skeet Ulrich,0.0004463223042132826,15
nm0005568,Russell Wong,0.0009819090692692216,33
nm0004911,Angela Featherstone,0.00035705784337062603,12
nm0006610,Donal Logue,0.0011604379909545346,39
nm0000648,Wesley Snipes,0.0010414187098309927,35
nm0000661,Donald Sutherland,0.0021125922399428706,71
nm0001999,Maury Chaykin,0.0004463223042132826,15
nm0000271,Anne Archer,0.0005355867650559391,18
nm0005154,Lucy Liu,0.0013984765532016187,47
nm0000195,Bill Murray,0.0016662699357295882,56
nm0751638,James Russo,0.0026481790049988096,89
nm0272224,Heino Ferch,8.926446084265651e-05,3
nm0001560,Ornella Muti,0.00017852892168531301,6
nm0905357,Steven Waddington,0.00041656748393239704,14
nm0931404,Olivia Williams,0.0014282313734825041,48
nm0001267,Balthazar Getty,0.0005355867650559391,18
nm0431332,Arly Jover,0.00017852892168531301,6
nm0129071,Jason Cairns,8.926446084265651e-05,3
nm0111274,Shane Brolly,0.0007438705070221376,25
nm0000352,Vincent D'Onofrio,0.002172101880504642,73
nm0000656,Madeleine Stowe,0.00026779338252796953,9
nm0005467,Jerry Stiller,0.00017852892168531301,6
nm0000413,Janeane Garofalo,0.0018745536776957868,63
nm0001611,Max Perlich,0.00017852892168531301,6
